x, y
-90.35608308605342, 0.006711409395973154
-80.14836795252225, 0.04697986577181208
-69.9406528189911, 0.27684563758389263
-59.97032640949555, 0.6946308724832214
-50, 0.9983221476510067
-39.910979228486646, 0.8942953020134228
-29.940652818991097, 0.7013422818791946
-19.97032640949554, 0.4983221476510067
-9.881305637982194, 0.3775167785234899
0.0890207715133613, 0.21476510067114093
9.821958456973292, 0.09395973154362416
20.148367952522264, 0.04530201342281879
30.118694362017806, 0.003355704697986577
